ticker,name,sector,industry,price,market_cap,composite,label,coverage,fundamentals_score,as_of,MarketBeat score,StockAnalysis score,Yahoo Finance score,MarketBeat target,StockAnalysis target,Yahoo Finance target
ACW,,,,,,,,0,,2026-09-10T19:37:19.825868+00:00,,,,,,
ADC,Agree Realty Corporation,Real Estate,REIT - Retail,71.445,8911115264.0,3.56,Buy,3,2.12,2026-09-10T19:37:20.866489+00:00,3.81,4.15,4.15,83.94,84.86,84.86111
ADM,Archer-Daniels-Midland Company,Consumer Defensive,Farm Products,86.925,41894338560.0,3.32,Hold,2,3.7,2026-09-10T19:37:21.826283+00:00,3.25,3.0,,79.67,78.7,
ADS,,,,,,,,0,,2026-09-10T19:37:22.838932+00:00,,,,,,
ADT,ADT Inc.,Industrials,Security & Protection Services,7.005,5117567488.0,3.14,Hold,2,2.79,2026-09-10T19:37:23.813973+00:00,3.14,3.5,,8.23,8.23,
ADX,"Adams Diversified Equity Fund, Inc.",Financial Services,Asset Management,25.58,3195635968.0,1.88,Sell,0,1.88,2026-09-10T19:37:24.870371+00:00,,,,,,
AEB,,,,,,,,0,,2026-09-10T19:37:25.871613+00:00,,,,,,
AEC,Anfield Energy Inc.,Energy,Uranium,4.125,82293648.0,1.84,Sell,1,1.68,2026-09-10T19:37:26.914512+00:00,2.0,,,,,
AED,,,,,,,,0,,2026-09-10T19:37:27.948323+00:00,,,,,,
AEE,Ameren Corporation,Utilities,Utilities - Regulated Electric,105.445,29191737344.0,3.29,Hold,2,1.91,2026-09-10T19:37:28.807370+00:00,3.77,4.188,,121.42,120.4,
AEF,"abrdn Emerging Markets ex-China Fund, Inc.",Financial Services,Asset Management,9.86,400330016.0,2.35,Sell,0,2.35,2026-09-10T19:37:29.791546+00:00,,,,,,
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,9.03,13364315136.0,3.54,Buy,3,3.61,2026-09-10T19:37:30.883599+00:00,3.57,3.5,3.5,10.0,9.88,9.875
AEH,,,,,,,,0,,2026-09-10T19:37:31.828486+00:00,,,,,,
AEK,,,,,,,,0,,2026-09-10T19:37:32.870231+00:00,,,,,,
AEL,,,,,,,,0,,2026-09-10T19:37:33.910665+00:00,,,,,,
AEM,Agnico Eagle Mines Limited,Basic Materials,Gold,196.71,99607035904.0,3.64,Buy,3,2.29,2026-09-10T19:37:34.862891+00:00,3.71,4.273,4.273,226.0,214.62,214.89214
AEO,"American Eagle Outfitters, Inc.",Consumer Cyclical,Apparel Retail,14.275,2392109312.0,3.27,Hold,3,3.85,2026-09-10T19:37:36.001397+00:00,3.07,3.077,3.071,19.36,18.36,19.54545
AEP,"American Electric Power Company, Inc.",Utilities,Utilities - Regulated Electric,123.81,67401838592.0,3.38,Hold,3,1.91,2026-09-10T19:37:36.862708+00:00,3.59,4.0,4.0,140.19,144.0,144.0
AER,AerCap Holdings N.V.,Industrials,Rental & Leasing Services,140.515,22086719488.0,3.7,Buy,2,2.49,2026-09-10T19:37:37.995020+00:00,4.0,4.6,,172.56,179.3,
AES,The AES Corporation,Utilities,Utilities - Diversified,14.805,10562459648.0,2.95,Hold,3,2.81,2026-09-10T19:37:38.985865+00:00,3.0,3.0,3.0,15.71,,15.0
AES-PC,,,,,,,,0,,2026-09-10T19:37:39.886130+00:00,,,,,,
AET,,,,,,4.0,Buy,1,,2026-09-10T19:37:40.885017+00:00,4.0,,,,,
AEV,,,,,,,,0,,2026-09-10T19:37:41.925407+00:00,,,,,,
